z,XCH4,XCO,XCO2,XH2,XH2O,XO2,Tboth,Tgas,Tsolid
0.1235235,0.4993908,0,0.5006092,0,0,0,865.4306,867.9928,858.9542
0.1242242,0.4993908,0,0.5006092,0,0,0,865.2326,868.4357,859.0509
0.1249249,0.4993908,0,0.5006092,0,0,0,864.9722,868.654,859.1287
0.1256256,0.4993908,0,0.5006092,0,0,0,864.5043,868.3444,859.1977
0.1263263,0.4993908,0,0.5006092,0,0,0,863.8447,867.5364,859.1659
0.127027,0.4993908,0,0.5006092,0,0,0,863.1842,866.5667,859.0435
0.1277277,0.4993908,0,0.5006092,0,0,0,862.7237,865.8153,858.8842
0.1284284,0.4993908,0,0.5006092,0,0,0,862.394,865.1653,858.7245
0.1291291,0.4993908,0,0.5006092,0,0,0,862.2113,864.6393,858.6083
0.1298298,0.4993908,0,0.5006092,0,0,0,861.9735,864.372,858.3418
0.1305305,0.4993908,0,0.5006092,0,0,0,861.3648,863.5309,858.0339
0.1312312,0.4993908,0,0.5006092,0,0,0,860.6221,862.3604,857.6783
0.1319319,0.4993908,0,0.5006092,0,0,0,859.768,861.4316,856.8175
0.1326326,0.4993908,0,0.5006092,0,0,0,859.0572,861.0887,855.4875
0.1333333,0.4993908,0,0.5006092,0,0,0,858.477,860.9216,853.9926
0.134034,0.4993908,0,0.5006092,0,0,0,857.9602,860.7515,852.3139
0.1347347,0.4993908,0,0.5006092,0,0,0,857.467,860.5148,850.2589
0.1354354,0.4993908,0,0.5006092,0,0,0,857.0498,860.4004,847.0332
0.1361361,0.4993908,0,0.5006092,0,0,0,856.5613,860.0713,846.784
0.1368368,0.4993908,0,0.5006092,0,0,0,856.1228,859.796,847.8317
0.1375375,0.4993908,0,0.5006092,0,0,0,855.651,859.4116,848.2879
0.1382382,0.4993908,0,0.5006092,0,0,0,855.1315,858.8419,848.4445
0.1389389,0.4993908,0,0.5006092,0,0,0,854.7125,858.3029,848.4236
0.1396396,0.4993908,0,0.5006092,0,0,0,854.293,857.6275,848.3149
